HSC,MPP,CMP,GMP,MEP,Erythrocytes,Megakaryocytes,Platelets,B-cells,CD4 T-cells,CD8 T-cells,NK cells,Basophils,Eosinophils,Neutrophils,CD14 Monocytes,CD16 Monocytes,Macrophages,DC,cDC,pDC
,,,TCTN2,,,,TMEM50A,,,,,,,,RABGEF1,,NDUFS8,,,
,,,WDR43,,,,TNNC2,,,,,,,,RARA,,NOP10,,,
,,,WDR60,,,,TRIM10,,,,,,,,RGS19,,NPTN,,,
,,,XPO1,,,,TUBA8,,,,,,,,RIN2,,NSMAF,,,
,,,ZC3H15,,,,TXNL4B,,,,,,,,RPH3A,,NUDT9,,,
,,,ZNF207,,,,UIMC1,,,,,,,,RTN3,,ORMDL2,,,
,,,ZNF35,,,,ULBP1,,,,,,,,S100A10,,PEX19,,,
,,,,,,,VCL,,,,,,,,SAMSN1,,PRDX1,,,
,,,,,,,VDAC3,,,,,,,,SIGLEC9,,PSMD10,,,
,,,,,,,WDR11,,,,,,,,STRN4,,PTPN12,,,
,,,,,,,XPNPEP1,,,,,,,,TSEN34,,RAB1A,,,
,,,,,,,ZNF214,,,,,,,,USP15,,RALA,,,
,,,,,,,ZNF37A,,,,,,,,,,RENBP,,,
,,,,,,,42802,,,,,,,,,,RTN4,,,
,,,,,,,ADIPOQ,,,,,,,,,,SDHB,,,
,,,,,,,ADIPOR2,,,,,,,,,,SIGLEC7,,,
,,,,,,,AMD1,,,,,,,,,,SLC1A2,,,
,,,,,,,ANXA7,,,,,,,,,,SPG21,,,
,,,,,,,APOA1,,,,,,,,,,TBC1D16,,,
,,,,,,,C7orf43,,,,,,,,,,TMEM126B,,,
,,,,,,,CEND1,,,,,,,,,,TMEM147,,,
,,,,,,,CETN2,,,,,,,,,,TMEM70,,,
,,,,,,,CETP,,,,,,,,,,TNFRSF12A,,,
,,,,,,,CHST8,,,,,,,,,,TPP1,,,
,,,,,,,CIITA,,,,,,,,,,TRAF3,,,
,,,,,,,DPYS,,,,,,,,,,TREM2,,,
,,,,,,,EGR4,,,,,,,,,,TYROBP,,,
,,,,,,,F13A1,,,,,,,,,,UBE2D4,,,
,,,,,,,FAM32A,,,,,,,,,,UQCRC2,,,
,,,,,,,FOXO4,,,,,,,,,,VAMP8,,,
,,,,,,,GP9,,,,,,,,,,VTI1B,,,
,,,,,,,GRIK1,,,,,,,,,,YIF1B,,,
,,,,,,,IPCEF1,,,,,,,,,,ZDHHC3,,,
,,,,,,,KCMF1,,,,,,,,,,ZZZ3,,,
,,,,,,,LSM14A,,,,,,,,,,,,,
,,,,,,,MTR,,,,,,,,,,,,,
,,,,,,,MUC6,,,,,,,,,,,,,
,,,,,,,MYL12A,,,,,,,,,,,,,
,,,,,,,NCK2,,,,,,,,,,,,,
,,,,,,,NEUROD4,,,,,,,,,,,,,
,,,,,,,NOS2,,,,,,,,,,,,,
,,,,,,,NPFFR1,,,,,,,,,,,,,
,,,,,,,NPTN,,,,,,,,,,,,,
,,,,,,,NPVF,,,,,,,,,,,,,
,,,,,,,NR2E3,,,,,,,,,,,,,
,,,,,,,ODC1,,,,,,,,,,,,,
,,,,,,,PDCD10,,,,,,,,,,,,,
,,,,,,,PEX11B,,,,,,,,,,,,,
,,,,,,,PGRMC1,,,,,,,,,,,,,
,,,,,,,PHF20L1,,,,,,,,,,,,,
,,,,,,,PLXNB3,,,,,,,,,,,,,
,,,,,,,PRX,,,,,,,,,,,,,
,,,,,,,PTGDR,,,,,,,,,,,,,
,,,,,,,RHCE,,,,,,,,,,,,,
,,,,,,,RIT2,,,,,,,,,,,,,
,,,,,,,RNF10,,,,,,,,,,,,,
,,,,,,,SLC16A8,,,,,,,,,,,,,
,,,,,,,SLC18A2,,,,,,,,,,,,,
,,,,,,,SNW1,,,,,,,,,,,,,
,,,,,,,TCAP,,,,,,,,,,,,,
,,,,,,,TRAPPC9,,,,,,,,,,,,,
,,,,,,,USP12,,,,,,,,,,,,,
,,,,,,,ZMYM1,,,,,,,,,,,,,
,,,,,,,ZNF592,,,,,,,,,,,,,
